UserID,TweetID,TweetDate,TweetTime,TWText,Likes,Retweets
361289499,1.4488E+18,10/15/2021,10:06.0,when they say crypto not bitcoin,1674,178
244647486,1.4488E+18,10/15/2021,13:27.0,thank god for bitcoin,18610,4223
339061487,1.44884E+18,10/15/2021,30:19.0,bitcoin futures etf said not to face sec opposition,3864,580
34713362,1.44884E+18,10/15/2021,38:57.0,"exclusive: the sec is likely to allow the first u.s. bitcoin futures etf to begin trading next week, in what would be a watershed moment for crypto",7573,2191
339061487,1.44885E+18,10/15/2021,57:51.0,the bitcoin futures etf is going to hit the market while 85 of the bitcoin circulating supply hasn't moved in 90 days and inflation is accelerating at more than 5. absolutely bananas.,8190,961
361289499,1.44885E+18,10/15/2021,25:38.0,breaking: bitcoin futures etf said not to face sec opposition at deadline bloomberg,4355,634
30325257,1.44886E+18,10/15/2021,50:45.0,"uptober leads to moonvember leads to bullcember, i don't make the rules, just saying how it is. bitcoin",5628,842
361289499,1.44897E+18,10/15/2021,30:49.0,official: microstrategy has doubled its money on its bitcoin investment. its 3.16 billion is now worth 6.7 billion.,10591,1433
244647486,1.44899E+18,10/15/2021,26:47.0,satoshi started a fire in cyberspace. bitcoin,7722,757
244647486,1.44901E+18,10/15/2021,48:06.0,bitcoin is the new gold.,12945,1799
8.77808E+17,1.44901E+18,10/15/2021,55:16.0,"bitcoin just broke 60,000 on binance!",5664,1110
25803102,1.44903E+18,10/15/2021,56:10.0,"breaking: it is official, valkyrie bitcoin strategy etf is approved!!",6666,2085
9.78733E+17,1.44904E+18,10/15/2021,43:42.0,breaking: a bitcoin etf has been officially approved!,2697,781
1.29342E+18,1.44905E+18,10/15/2021,42:12.0,become a member,0,0
9.10489E+17,1.44905E+18,10/15/2021,42:12.0,bitcoin smesh 61k,0,0
1.31098E+18,1.44905E+18,10/15/2021,42:12.0,bitcoin profit will trickle down to alts. like one,0,0
1.2482E+18,1.44905E+18,10/15/2021,42:12.0,all time high tomorrow in the btc,1,0
617853906,1.44905E+18,10/15/2021,42:12.0,shop flowers amp; gifts,0,0
4210818493,1.44905E+18,10/15/2021,42:12.0,breaking: nasdaq listing hints that the sec may soon approve etf application from valkyrie vice president of listing qualifications eun ah choi said nasdaq had certified valkyries bitcoin etf shares for listing on the exchange.,0,0
432726108,1.44905E+18,10/15/2021,42:12.0,mstr looking for an 80 point move. they are loaded in bitcoin on that big dump to 30k. money in the bank.,0,0
68187433,1.44905E+18,10/15/2021,42:12.0,bitcoin 61k. the ath is getting to be just a stone's throw away.,0,0
1.40915E+18,1.44905E+18,10/15/2021,42:13.0,bitcoin is on drugs.,0,0
1.41314E+18,1.44905E+18,10/15/2021,42:13.0,"ever since the day i met i don't have to wait for stimulus check, i earn thousands weekly from bitcoin investment. don't let the government control your means of income with platform you can be your own boss earning from home.",0,0
3145405403,1.44905E+18,10/15/2021,42:13.0,"bitcoin just broke 61,000",0,0
393108566,1.44905E+18,10/15/2021,42:14.0,bitcoin 61k btc,0,0
1.43712E+18,1.44905E+18,10/15/2021,42:15.0,excellent and great projects sir.. this is so amazing i am impressed with this project hopefully with this event the community and especially this coin will achieve success,1,1
423368898,1.44905E+18,10/15/2021,42:15.0,i'm so happy i invested on time,0,0
1058899034,1.44905E+18,10/15/2021,42:16.0,this bitcoin chart is in direct correlation with the comm commodities inflation aggregate chart showed to day on surveillance jeremybliss,0,1
1.42982E+18,1.44905E+18,10/15/2021,42:16.0,let's see if this plays out. target hasn't been reached yet. 61k btc possible? bitcoin,0,0
1.1257E+18,1.44905E+18,10/15/2021,42:17.0,i believe this is a wonderful project. the project has a lot of attractions so hopefully the project will be better in future and will be the best.,0,0
293658619,1.44905E+18,10/15/2021,42:17.0,it is always a good idea to take profit bitcoin,0,0
9.51582E+17,1.44905E+18,10/15/2021,42:18.0,no one has mentioned ion did system or bitcoin / lightning aka the technologies that make up the most decentralized network of all time. no mention of rgb either. isn't serious. bitcoiners will build something usable first.,1,0
1.17661E+18,1.44905E+18,10/15/2021,42:18.0,i told you buy bitcoin amp; ethereum. real investments. not gamble meme coins like doge amp; shib.,0,0
24985470,1.44905E+18,10/15/2021,42:19.0,btc etf approved! official confirmation letter from below! bitcoin,1,2
1.28079E+18,1.44905E+18,10/15/2021,42:19.0,"btc: apompliano 1m: we're live with the legend goingparabolic talking about bitcoin, market structure, and dancing on graves! watch",0,0
91056749,1.44905E+18,10/15/2021,42:19.0,the sec has not approved valkyries bitcoin strategy etfyet! this is a notice from nasdaq to the sec saying they have approved the securities and awaiting a decision from the sec. that is all.,0,0
1.44771E+18,1.44905E+18,10/15/2021,42:20.0,"except for bitcoin and ethereum,all alt coins are close to the garbage,sell what you have ant get out of this market.",0,0
168987460,1.44905E+18,10/15/2021,42:20.0,"at the end, everyone will buy bitcoin at the price they deserve",0,0
1.43589E+18,1.44905E+18,10/15/2021,42:21.0,can anyone gimme just a half bitcoin?,0,0
1456658778,1.44905E+18,10/15/2021,42:21.0,"61,000.00 bitcoin!! meep meep!!",0,0
1.2913E+18,1.44905E+18,10/15/2021,42:21.0,61k lets send it,0,0
